"File","Category","LastWrite","Size"
"accounting_pg_wave1_interface_split_task_card.md","hkd_accounting","2026-07-10","9357"
"accounting_pg_wave2_services_di_config_task_card.md","hkd_accounting","2026-07-10","17001"
"accounting_pg_wave3_tests_verify_task_card.md","hkd_accounting","2026-07-10","12643"
"accounting_postgresql_online_master_plan.md","hkd_accounting","2026-07-10","14482"
"architecture_refactor_master_plan.md","gateway_infra","2026-07-01","34170"
"commerce-mode-toggle-spec-v2-2c5017.md","khachlink","2026-07-30","33242"
"community-commerce-master-plan-2c5017.md","khachlink","2026-07-29","76355"
"community-commerce-requirements-spec-2c5017.md","khachlink","2026-07-29","121919"
"docker_port_config_fix_plan.md","gateway_infra","2026-07-09","16478"
"e2e_test_cleanup_master_plan.md","e2e_tests","2026-07-03","31347"
"einvoice_provider_rewrite_master_plan.md","einvoice","2026-07-02","24013"
"einvoice_sandbox_email_drafts.md","einvoice","2026-07-02","8483"
"featured_product_picker_master_plan.md","khachlink","2026-07-23","18043"
"feature_guest_checkout_form_task_card.md","khachlink","2026-07-07","6915"
"fix_accounting_tests_master_plan.md","hkd_accounting","2026-06-27","26767"
"fix_adr001_compliance_master_plan.md","misc","2026-06-29","6647"
"fix_integration_tests_master_plan.md","misc","2026-06-27","16891"
"fix_payment_webhook_journalentry_duplicate_key_task_card.md","hkd_accounting","2026-07-14","13005"
"gateway_router_multi_vps_master_plan.md","gateway_infra","2026-07-20","29819"
"hkd_book_accounting_fix_master_plan.md","hkd_accounting","2026-07-04","68287"
"INTEGRATION_TEST_FIX_master_plan.md","misc","2026-06-25","18078"
"khachlink_flow_wave0_toggle_infrastructure_task_card.md","khachlink","2026-07-11","22194"
"khachlink_flow_wave1_payment_kitchen_ui_task_card.md","khachlink","2026-07-11","18539"
"khachlink_flow_wave2_completion_loyalty_task_card.md","khachlink","2026-07-11","14596"
"khachlink_flow_wave3_voice_note_tts_task_card.md","khachlink","2026-07-12","15730"
"khachlink_flow_wave4_e2e_tests_task_card.md","khachlink","2026-07-12","16133"
"khachlink_full_flow_master_plan.md","khachlink","2026-07-11","20574"
"khachlink_improvements_master_plan.md","khachlink","2026-07-12","23114"
"KHACHLINK_PRODUCTION_PLAN.md","khachlink","2026-06-27","18407"
"khachlink_pwa_offline_master_plan.md","khachlink","2026-07-31","51033"
"khachlink_pwa_phase0_quickfix_task_card.md","khachlink","2026-07-21","3945"
"khachlink_pwa_phase1_sdk_conversion_task_card.md","khachlink","2026-07-21","6147"
"khachlink_pwa_phase2_sw_dll_caching_task_card.md","khachlink","2026-07-22","5188"
"khachlink_pwa_phase3_offline_api_task_card.md","khachlink","2026-07-21","3681"
"khachlink_pwa_phase4_offline_write_queue_task_card.md","khachlink","2026-07-22","6418"
"khachlink_pwa_phase5_push_notification_task_card.md","khachlink","2026-07-31","28793"
"khachlink_pwa_phase6_e2e_governance_task_card.md","khachlink","2026-07-21","4247"
"KHACHLINK_RETENTION_PLAN.md","khachlink","2026-06-29","15474"
"khachlink_theme_customization_master_plan.md","khachlink","2026-07-22","12683"
"khachlink_theme_phase1_domain_ef_migration_task_card.md","khachlink","2026-07-22","9788"
"khachlink_theme_phase2_service_api_task_card.md","khachlink","2026-07-22","7673"
"khachlink_theme_phase3_admin_ui_task_card.md","khachlink","2026-07-22","6372"
"khachlink_theme_phase4_khachlink_render_task_card.md","khachlink","2026-07-22","8190"
"loyalty_crm_audit_fix_master_plan-2c5017.md","tiered_auth_loyalty","2026-07-27","25960"
"loyalty_phase_a_guard_fix_configurable_formula_task_card.md","misc","2026-07-24","6193"
"loyalty_phase_b_redemption_system_task_card.md","misc","2026-07-24","10187"
"loyalty_phase_c_task_based_awards_task_card.md","misc","2026-07-24","27768"
"MASTER_FIX_PLAN_all_gaps.md","misc","2026-07-07","14064"
"order_lifecycle_master_plan.md","misc","2026-07-16","23711"
"order_sync_fix_kitchen_ui_master_plan.md","misc","2026-07-16","17273"
"order_sync_fix_kitchen_ui_task_card.md","misc","2026-07-16","22082"
"order_uuidv7_identity_master_plan.md","misc","2026-07-16","24472"
"order_uuidv7_phase1_dependency_task_card.md","misc","2026-07-16","4727"
"order_uuidv7_phase2_domain_task_card.md","misc","2026-07-16","5027"
"order_uuidv7_phase3_uuidv7_generation_task_card.md","misc","2026-07-16","5473"
"order_uuidv7_phase4_ef_migration_task_card.md","misc","2026-07-16","7127"
"order_uuidv7_phase5_tests_runtime_task_card.md","misc","2026-07-16","7037"
"order_w-1_task_card.md","misc","2026-07-07","19200"
"order_w0_task_card.md","misc","2026-07-07","10686"
"order_w1_task_card.md","misc","2026-07-07","4872"
"order_w2_task_card.md","misc","2026-07-07","6011"
"order_w3_task_card.md","misc","2026-07-07","9337"
"order_w4_task_card.md","misc","2026-07-07","6763"
"order_w5_task_card.md","misc","2026-07-07","5646"
"phase0_validation_layer_enhancement_task_card.md","misc","2026-06-30","6655"
"phase1_domain_migration_task_card.md","misc","2026-07-19","13199"
"phase1_local_dev_fix_task_card.md","misc","2026-06-30","5858"
"phase2_docker_compose_fix_summary.md","misc","2026-06-30","4654"
"phase2_docker_compose_fix_task_card.md","misc","2026-06-30","6049"
"phase2_gateway_shop_instances_api_task_card.md","misc","2026-07-19","12592"
"phase3.5_accounting_consolidation_task_card.md","misc","2026-07-20","18768"
"phase3.6_deferred_cleanup_task_card.md","misc","2026-07-20","6414"
"phase3_ci_cd_fix_summary.md","misc","2026-06-30","5409"
"phase3_ci_cd_fix_task_card.md","misc","2026-06-30","5718"
"phase3_gateway_router_task_card.md","misc","2026-07-20","27542"
"phase4_edge_fix_task_card.md","misc","2026-06-30","7153"
"phase4_shoperp_public_checkout_task_card.md","misc","2026-07-20","13143"
"phase5_khachlink_multi_tenant_checkout_task_card.md","misc","2026-07-20","26822"
"phase5_validation_task_card.md","misc","2026-06-30","5499"
"phase6_admin_ui_task_card.md","misc","2026-07-20","28849"
"phase7_verification_governance_task_card.md","misc","2026-07-20","14986"
"phase8_multi_vps_e2e_task_card.md","misc","2026-07-20","3806"
"plan_loyalty_completion_crm_promo_push.md","misc","2026-07-27","23662"
"platform_systemadmin_access_matrix_master_plan.md","misc","2026-07-09","15706"
"platform_systemadmin_access_matrix_task_card.md","misc","2026-07-09","16008"
"platform_systemadmin_master_plan.md","misc","2026-07-09","18103"
"platform_systemadmin_task_card.md","misc","2026-07-09","27223"
"PRODUCTION_HYGIENE_master_plan.md","misc","2026-06-26","24235"
"product_phase2_domain_task_card.md","misc","2026-07-14","5309"
"product_phase3_api_task_card.md","misc","2026-07-14","12704"
"product_phase4_ui_task_card.md","misc","2026-07-14","10399"
"product_phase5_qr_print_task_card.md","misc","2026-07-14","6585"
"product_phase6_e2e_task_card.md","misc","2026-07-15","19596"
"quicksetup_phase1_fix_task_card.md","misc","2026-07-14","6527"
"quicksetup_product_management_master_plan.md","misc","2026-07-14","38359"
"remove_shop_entity_plan.md","misc","2026-07-21","14932"
"saas_production_hardening_master_plan.md","misc","2026-07-08","16483"
"saas_w0_task_card.md","saas_vas","2026-07-05","3740"
"saas_w1_task_card.md","saas_vas","2026-07-05","5672"
"saas_w2_task_card.md","saas_vas","2026-07-05","6261"
"saas_w3_task_card.md","saas_vas","2026-07-05","6619"
"saas_w4_task_card.md","saas_vas","2026-07-05","7269"
"saas_w5_task_card.md","saas_vas","2026-07-05","10649"
"saas_w6_task_card.md","saas_vas","2026-07-05","20321"
"saas_w7_task_card.md","saas_vas","2026-07-05","5544"
"saas_w8_task_card.md","saas_vas","2026-07-06","6200"
"SECURITY_COMPLIANCE_master_plan.md","misc","2026-06-23","49789"
"shipper-saleman-review-2c5017.md","khachlink","2026-07-25","12279"
"shopconfig_phase1_revert_dto_task_card.md","khachlink","2026-07-02","6338"
"shopconfig_phase2_http_service_task_card.md","khachlink","2026-07-02","9922"
"shopconfig_phase3_wireup_tests_task_card.md","khachlink","2026-07-02","8314"
"shopconfig_product_tenant_master_plan.md","khachlink","2026-07-02","18781"
"shoperp_ui_fix_master_plan.md","shoperp_ui","2026-07-03","23649"
"sprint0_foundation_detailed_plan-2c5017.md","sprint_planning","2026-07-29","55475"
"sprint1_nearby_orders_detailed_plan-2c5017.md","sprint_planning","2026-07-29","19248"
"sprint2_delivery_gps_detailed_plan-2c5017.md","sprint_planning","2026-07-26","8275"
"sprint3_chat_detailed_plan-2c5017.md","sprint_planning","2026-07-26","6772"
"sprint4_salesman_qr_detailed_plan-2c5017.md","sprint_planning","2026-07-26","20206"
"sprint5_wallet_cod_detailed_plan-2c5017.md","sprint_planning","2026-07-30","8037"
"sprint6_admin_legal_detailed_plan-2c5017.md","sprint_planning","2026-07-30","16886"
"sprint6_collaborator_verification_detailed_plan-2c5017.md","sprint_planning","2026-07-30","6210"
"sprint7_commerce_mode_detailed_plan-2c5017.md","sprint_planning","2026-07-30","19343"
"stream_e_db_migration_strategy_task_card.md","gateway_infra","2026-07-03","12785"
"task_cc_sprint0_foundation-2c5017.md","sprint_planning","2026-07-29","27860"
"task_cc_sprint1_nearby_orders-2c5017.md","sprint_planning","2026-07-29","10671"
"task_cc_sprint2_delivery_gps-2c5017.md","sprint_planning","2026-07-29","5885"
"task_cc_sprint3_chat-2c5017.md","sprint_planning","2026-07-29","4547"
"task_cc_sprint4_salesman_qr-2c5017.md","sprint_planning","2026-07-26","16472"
"task_cc_sprint5_wallet_cod-2c5017.md","sprint_planning","2026-07-30","7809"
"task_cc_sprint6_admin_legal-2c5017.md","sprint_planning","2026-07-30","11687"
"task_cc_sprint6_collaborator_verification-2c5017.md","sprint_planning","2026-07-30","3154"
"task_cc_sprint7_commerce_mode-2c5017.md","sprint_planning","2026-07-30","16210"
"task_goldenflow_T1-T4.md","misc","2026-06-28","6635"
"task_goldenflow_T5.md","misc","2026-06-28","7339"
"TD-001_KhachLink_ArchitecturalViolation.md","misc","2026-06-23","5426"
"tech_debt_multi_vps_checkout.md","gateway_infra","2026-07-21","7006"
"Template_master_implementation_plan.md","template","2026-06-23","6926"
"Template_phase_task_card.md","template","2026-07-19","4281"
"tenant_onboarding_fnb_master_plan.md","tenant_onboarding","2026-07-02","13177"
"test_system_improvement_master_plan.md","e2e_tests","2026-07-07","17968"
"test_w0_tier_filtering_task_card.md","e2e_tests","2026-07-07","4531"
