"Category","Endpoint","Method","Status","Expected","Result","Notes"
"Platform Page","/admin/tenants","GET","200","200","PASS","Tenant Management"
"Platform Page","/admin/audit-trail","GET","200","200","PASS","Audit Trail"
"Platform API","/api/tenants","GET","200","200","PASS","Tenant list API"
"Impersonation","/api/admin/impersonate/{tenantId}","POST","404","200","SKIP","Set tenant_id in Cookie"
"Impersonation","/dev/login/systemadmin/{tenantId}","POST","200","200","PASS","JWT with tenant_id for Gateway"
"Tenant Page","/","GET","200","200","PASS","Home Dashboard [OwnerOnly]"
"Tenant Page","/orders","GET","200","200","PASS","Orders List [[Authorize]]"
"Tenant Page","/accounting","GET","200","200","PASS","Accounting Index [OwnerOnly]"
"Tenant Page","/accounting/balance","GET","200","200","PASS","Account Balance [OwnerOnly]"
"Tenant Page","/accounting/history","GET","200","200","PASS","Transaction History [OwnerOnly]"
"Tenant Page","/accounting/revenue","GET","200","200","PASS","Revenue Entry [OwnerOnly]"
"Tenant Page","/accounting/expenses","GET","200","200","PASS","Expense Entry [OwnerOnly]"
"Tenant Page","/accounting/period-closing","GET","200","200","PASS","Period Closing [OwnerOnly]"
"Tenant Page","/accounting/hkd-books","GET","200","200","PASS","HKD Books [OwnerOnly]"
"Tenant Page","/accounting/balance-sheet","GET","200","200","PASS","Balance Sheet [OwnerOnly]"
"Tenant Page","/accounting/cash-flow-statement","GET","200","200","PASS","Cash Flow Statement [OwnerOnly]"
"Tenant Page","/accounting/income-statement","GET","200","200","PASS","Income Statement [OwnerOnly]"
"Tenant Page","/accounting/trial-balance","GET","200","200","PASS","Trial Balance [OwnerOnly]"
"Tenant Page","/accounting/financial-reports","GET","200","200","PASS","Financial Reports [OwnerOnly]"
"Tenant Page","/einvoice","GET","200","200","PASS","EInvoice Dashboard [StoreManagement]"
"Tenant Page","/einvoice/invoices","GET","500","200","FAIL","Invoice Management [StoreManagement]"
"Tenant Page","/einvoice/providers","GET","200","200","PASS","Provider Management [OwnerOnly]"
"Tenant Page","/einvoice/configuration","GET","200","200","PASS","Provider Configuration [OwnerOnly]"
"Tenant Page","/einvoice/health","GET","200","200","PASS","Health Monitoring [StoreManagement]"
"Tenant Page","/einvoice/alerts","GET","200","200","PASS","Alert Management [StoreManagement]"
"Tenant Page","/admin/users","GET","200","200","PASS","User Management [OwnerOnly]"
"Tenant Page","/admin/permission-groups","GET","200","200","PASS","Permission Groups [OwnerOnly]"
"Tenant Page","/sitemap","GET","200","200","PASS","Sitemap [[Authorize]]"
"ShopERP API","/api/orders","GET","200","200","PASS","Orders list"
"ShopERP API","/api/dashboard","GET","200","200","PASS","Dashboard data"
"ShopERP API","/api/products","GET","200","200","PASS","Products list"
"ShopERP API","/api/shops","GET","200","200","PASS","Shops list"
"ShopERP API","/api/notifications","GET","200","200","PASS","Notifications"
"ShopERP API","/api/loyalty","GET","200","200","PASS","Loyalty data"
"ShopERP API","/api/customers","GET","200","200","PASS","Customers list"
"ShopERP API","/api/socialcampaigns","GET","200","200","PASS","Social campaigns"
"ShopERP API","/api/users","GET","200","200","PASS","Users list"
"ShopERP API","/api/permission-groups","GET","200","200","PASS","Permission groups"
"ShopERP API","/api/apikeys","GET","200","200","PASS","API Keys"
"VAS Report","/api/balance-sheets?year=2026&month=6","GET","403","200/403","PASS","Balance Sheet - 403 (HKD tenant, VAS not available - expected for default tenant)"
"VAS Report","/api/cash-flow-statements?year=2026&month=6","GET","403","200/403","PASS","Cash Flow Statement - 403 (HKD tenant, VAS not available - expected for default tenant)"
"VAS Report","/api/income-statements?year=2026&month=6","GET","403","200/403","PASS","Income Statement - 403 (HKD tenant, VAS not available - expected for default tenant)"
"VAS Report","/api/trial-balances?year=2026&month=6","GET","403","200/403","PASS","Trial Balance - 403 (HKD tenant, VAS not available - expected for default tenant)"
"Gateway API","/api/accounting-entries","GET","200","200","PASS","Accounting Entries [RequireTenantAccess]"
"Gateway API","/api/accounting","GET","200","200","PASS","Accounting (alias) [RequireTenantAccess]"
"Gateway API","/api/hkd-books","GET","500","200","FAIL","HKD Books [RequireTenantAccess]"
"Gateway API","/api/orders","GET","200","200","PASS","Gateway Orders [RequireTenantAccess]"
"Gateway API","/api/products","GET","404","200","SKIP","Gateway Products [[Authorize]]"
"Gateway API","/api/dashboard","GET","404","200","SKIP","Gateway Dashboard [[Authorize]]"
"Gateway API","/api/customers","GET","404","200","SKIP","Gateway Customers [RequireTenantAccess]"
"Gateway API","/api/shops","GET","404","200","SKIP","Gateway Shops [[Authorize]]"
"Gateway API","/api/notifications","GET","404","200","SKIP","Gateway Notifications [[Authorize]]"
