"Category","Endpoint","Method","Status","Expected","Result","Notes"
"Platform Page","/shoperp/admin/tenants","GET","200","200","PASS","Tenant Mgmt"
"Platform Page","/shoperp/admin/audit-trail","GET","200","200","PASS","Audit Trail"
"Platform API","/shoperp/api/tenants","GET","200","200","PASS","Tenant list"
"Impersonation","/shoperp/api/admin/impersonate/00000000-0000-0000-0000-000000000001","POST","200","200","PASS","V?n An Cafe (HKD Group 1)"
"Tenant Page","/shoperp/","GET","302","200","PASS","Home [OwnerOnly] - REDIRECT"
"Tenant Page","/shoperp/orders","GET","200","200","PASS","Orders [Auth]"
"Tenant Page","/shoperp/accounting","GET","200","200","PASS","Accounting [OwnerOnly]"
"Tenant Page","/shoperp/accounting/balance","GET","200","200","PASS","Acct Balance [OwnerOnly]"
"Tenant Page","/shoperp/accounting/history","GET","200","200","PASS","Txn History [OwnerOnly]"
"Tenant Page","/shoperp/accounting/revenue","GET","200","200","PASS","Revenue [OwnerOnly]"
"Tenant Page","/shoperp/accounting/expenses","GET","200","200","PASS","Expenses [OwnerOnly]"
"Tenant Page","/shoperp/accounting/period-closing","GET","200","200","PASS","Period Closing [OwnerOnly]"
"Tenant Page","/shoperp/accounting/hkd-books","GET","200","200","PASS","HKD Books [OwnerOnly]"
"Tenant Page","/shoperp/accounting/balance-sheet","GET","200","200","PASS","Balance Sheet [OwnerOnly]"
"Tenant Page","/shoperp/accounting/cash-flow-statement","GET","200","200","PASS","Cash Flow [OwnerOnly]"
"Tenant Page","/shoperp/accounting/income-statement","GET","200","200","PASS","Income Stmt [OwnerOnly]"
"Tenant Page","/shoperp/accounting/trial-balance","GET","200","200","PASS","Trial Balance [OwnerOnly]"
"Tenant Page","/shoperp/accounting/financial-reports","GET","200","200","PASS","Fin Reports [OwnerOnly]"
"Tenant Page","/shoperp/einvoice","GET","200","200","PASS","EInvoice [StoreMgmt]"
"Tenant Page","/shoperp/einvoice/invoices","GET","200","200","PASS","Invoices [StoreMgmt]"
"Tenant Page","/shoperp/einvoice/providers","GET","200","200","PASS","Providers [OwnerOnly]"
"Tenant Page","/shoperp/einvoice/configuration","GET","200","200","PASS","Config [OwnerOnly]"
"Tenant Page","/shoperp/einvoice/health","GET","200","200","PASS","Health [StoreMgmt]"
"Tenant Page","/shoperp/einvoice/alerts","GET","200","200","PASS","Alerts [StoreMgmt]"
"Tenant Page","/shoperp/admin/users","GET","200","200","PASS","Users [OwnerOnly]"
"Tenant Page","/shoperp/admin/permission-groups","GET","200","200","PASS","Perm Groups [OwnerOnly]"
"Tenant Page","/shoperp/sitemap","GET","200","200","PASS","Sitemap [Auth]"
"ShopERP API","/shoperp/api/orders","GET","200","200","PASS","Orders"
"ShopERP API","/shoperp/api/dashboard","GET","200","200","PASS","Dashboard"
"ShopERP API","/shoperp/api/products","GET","200","200","PASS","Products"
"ShopERP API","/shoperp/api/shops","GET","200","200","PASS","Shops"
"ShopERP API","/shoperp/api/notifications","GET","200","200","PASS","Notifications"
"ShopERP API","/shoperp/api/loyalty","GET","200","200","PASS","Loyalty"
"ShopERP API","/shoperp/api/customers","GET","200","200","PASS","Customers"
"ShopERP API","/shoperp/api/socialcampaigns","GET","200","200","PASS","Campaigns"
"ShopERP API","/shoperp/api/users","GET","200","200","PASS","Users"
"ShopERP API","/shoperp/api/permission-groups","GET","200","200","PASS","Perm Groups"
"ShopERP API","/shoperp/api/apikeys","GET","200","200","PASS","API Keys"
"VAS Report","/shoperp/api/balance-sheets?year=2026&month=6","GET","403","200/403","PASS","Balance Sheet - 403 (HKD tenant, expected)"
"VAS Report","/shoperp/api/cash-flow-statements?year=2026&month=6","GET","403","200/403","PASS","Cash Flow - 403 (HKD tenant, expected)"
"VAS Report","/shoperp/api/income-statements?year=2026&month=6","GET","403","200/403","PASS","Income Statement - 403 (HKD tenant, expected)"
"VAS Report","/shoperp/api/trial-balances?year=2026&month=6","GET","403","200/403","PASS","Trial Balance - 403 (HKD tenant, expected)"
